Id,Comments
@user-ku3xc1il2b,콜드플레이의 둥둥둥 울리는 북소리가 좋아 틈날때마다 듣던곡을 정반대 느낌의 잔나비곡으로 듣는데 대만족! 마치 콜드플레이  Fix You 방탄소년단 커버를 들을때  느껴지던 만족감이!
@user-su3uy5xd2f,이건 진짜 천만조회수는 땡겨져야 정상인데  좀만 홍보되서 잔나비 세계적으로 잘됐으면 좋겠다 이런 공연 많아지면 더 좋겠어 ㅠㅠ
@mangkey9097,와 이거 진짜오지네
@adorable3920,이노래 진짜 좋아하는데 아이슬란드 가서 오로라 보면서 듣고싶음 잔나비가 불러도 좋네요
@rivsldo082,찬란한 젊음이 생각나게 하는 밴드 잔나비.
@user-jx5sb3ib4f,팝도 잘부르는 락커최정훈 너무 멋져
@user-hy3bu1jo7t,이무대볼때마다 기타에 감탄함 ㅋㅋ
@robin6641,드럼이 진짜 레전드다. 정박인듯 엇박인듯 절묘하게 치고 빠짐..
@user-gt9zr8fe7j,눈을 보고 그는 대한민국 음악사에 길이 남을  것이라는 생각이 들었다
@user-jo8vx9vg6l,주기적으로 봐줘야 하는 영상
@TV-gy6sj,진짜 이건 너무 잘했다
@song_hwan,놀라신듯한 배철수 형님 ㅋㅋㅋㅋ 편곡 매끄럽고 좋다 역시 잔나비
@jjh5306,노래하면서 행복하다는게 느껴지는 잔나비.. 진정한 아티스트다
@user-lovespace,늦게나마  이 노래를 알게되서 천만다행이야.. 요즘  이노래  커버곡을 찾아다니고 있눈데 단언컨대 손가락안에 든다!!
@user-or7ek1bw9t,3:20 최정훈 저 소리 지르는게 너무좋다
@user-ed6cz9yq9x,"'Now the old king is dead' 원곡이 왕국의 상실에 대한 왕의 분노와 한탄이 섞인 울부짖음이라면, 잔나비의 커버는 그 왕이 다 늙은 후에 허탈하고 공허한 감정으로 부르는듯한 느낌이네요"
@sashababy7712,Jannabi's cover is so much better than Coldplay's original
@user-oj7pn3mf6z,기타가 너무 매력적으로 들린다..........
@Nagato297,You rule Jannabi !!....and the way Jong Hoon express the music it's just amazing
@user-zs5wf4if4x,이게 아티스트지 진짜 전율 개지린다
@jinnykoh1,잔나비가 최고야!!!!!!!!!!!!
@user-ej2nr6si5m,"2020년도 3월이 될 무렵, 코로나로 연기된 개학으로 인해 집에서 빈둥거리던 시절, 컴퓨터앞에 앉아 유튜브가 인도하는 영상을 따라 멍하니 끄적일 때 우연히 이 영상을 보게 되었고 밴드의 훌륭한 편곡 능력과 보컬의 신내림 받은 듯한 무대 장악력을 보고 잔나비에 입덕하게 되었습니다. 잔나비라는 훌륭한 밴드의 진가를 알게 해준 이 고마운 영상이 어느새 조회수 200만을 넘기는 인기 영상이 되었네요. 잔나비 흥하자!!"
@sweetsong1515,목소리 노래랑 찰떡 멋있다 멋있어 진정성느껴지고 정말 또한번 반하네
@jiminssi__,아진짜좋다
@watermelonsugarhiii9497,"his hair, his voice awww he's perfect"
@Jun-uq1dl,와 잔나비 음색은 진짜 독보적이다... 알게된지 얼마 안됬지만 계속 찾아듣게되네
@user-sq8pb7iy2c,원곡 느낌 그대로 불렀다면 재미없었을텐데 역시 공연강자 잔나비는 뻔하지 않아서 좋다 스토리텔러로서 사람의 마음을 움직인다
